"theta","tau"
0.01,0.00379649399329196
0.011,0.00438401756410656
0.012,0.00495304142557984
0.013,0.00550751763934443
0.014,0.00605027133701697
0.015,0.00658337633939254
0.016,0.00710838991887641
0.017,0.00762650470459647
0.018,0.00813864995361513
0.019,0.00864556084100343
0.02,0.00914782696396799
0.021,0.0096459269874245
0.022,0.0101402538414206
0.023,0.0106311333450648
0.024,0.0111188381751006
0.025,0.0116035984819334
0.026,0.0120856100562605
0.027,0.0125650406807196
0.028,0.0130420351209111
0.029,0.0135167190838601
0.03,0.0139892023849413
0.031,0.0144595815019244
0.032,0.0149279416503738
0.033,0.0153943584817142
0.034,0.0158588994818416
0.035,0.0163216251301179
0.036,0.016782589865187
0.037,0.0172418428943466
0.038,0.0176994288752326
0.039,0.0181553884926942
0.04,0.0186097589492356
0.041,0.019062574383792
0.042,0.0195138662307386
0.043,0.0199636635288556
0.044,0.0204119931883611
0.045,0.0208588802222494
0.046,0.0213043479476092
0.047,0.0217484181613479
0.048,0.0221911112939104
0.049,0.0226324465443355
0.05,0.0230724419991226
0.051,0.0235111147371363
0.052,0.0239484809225274
0.053,0.0243845558871882
0.054,0.0248193542040021
0.055,0.0252528897522737
0.056,0.0256851757761254
0.057,0.0261162249368105
0.058,0.0265460493596485
0.059,0.0269746606762631
0.06,0.0274020700625996
0.061,0.0278282882732626
0.062,0.0282533256725728
0.063,0.0286771922626965
0.064,0.0290998977091537
0.065,0.02952145136409
0.066,0.0299418622873286
0.067,0.0303611392657022
0.068,0.0307792908306119
0.069,0.0311963252742036
0.07,0.0316122506640539
0.071,0.0320270748567442
0.072,0.0324408055102889
0.073,0.0328534500955762
0.074,0.0332650159069203
0.075,0.0336755100717667
0.076,0.03408493955971
0.077,0.0344933111907615
0.078,0.0349006316430547
0.079,0.035306907459999
0.08,0.0357121450568627
0.081,0.0361163507269353
0.082,0.0365195306472614
0.083,0.0369216908839611
0.084,0.0373228373971788
0.085,0.0377229760457567
0.086,0.0381221125915285
0.087,0.0385202527034032
0.088,0.038917401961136
0.089,0.0393135658588957
0.09,0.0397087498085948
0.091,0.0401029591430095
0.092,0.0404961991187633
0.093,0.0408884749190541
0.094,0.0412797916562742
0.095,0.0416701543744846
0.096,0.0420595680517213
0.097,0.0424480376021776
0.098,0.0428355678782921
0.099,0.0432221636726986
0.1,0.0436078297200808
0.101,0.0439925706989222
0.102,0.0443763912331789
0.103,0.0447592958938632
0.104,0.0451412892005401
0.105,0.0455223756227543
0.106,0.0459025595813838
0.107,0.0462818454499629
0.108,0.0466602375558587
0.109,0.0470377401815067
0.11,0.0474143575654828
0.111,0.0477900939036111
0.112,0.0481649533499553
0.113,0.0485389400178331
0.114,0.0489120579807114
0.115,0.0492843112731354
0.116,0.049655703891581
