tau,beta.x,lambda,cen.per
0.5,0.1,1.4,30
0.5,0.1,0.25,50
0.5,0.1,0.05,70
0.5,0.1,0.004,90
0.5,0.5,0.79,30
0.5,0.5,0.21,50
0.5,0.5,0.07,70
0.5,0.5,0.015,90
0.5,0.9,0.7,30
0.5,0.9,0.2,50
0.5,0.9,0.07,70
0.5,0.9,0.015,90
0.5,0.1,0.0013,95
0.5,0.1,0.00045,97
0.5,0.1,0.0001,99
0.5,0.5,0.0053,95
0.5,0.5,0.0029,97
0.5,0.5,0.0011,99
0.5,0.9,0.0062,95
0.5,0.9,0.00335,97
0.5,0.9,0.0012,99
0.7,0.1,12,30
0.7,0.1,1,50
0.7,0.1,0.11,70
0.7,0.1,0.007,90
0.7,0.5,7,30
0.7,0.5,0.8,50
0.7,0.5,0.12,70
0.7,0.5,0.016,90
0.7,0.9,7,30
0.7,0.9,0.7,50
0.7,0.9,0.12,70
0.7,0.9,0.017,90
0.7,0.1,0.0019,95
0.7,0.1,0.001,97
0.7,0.1,0.0001,99
0.7,0.5,0.007,95
0.7,0.5,0.0039,97
0.7,0.5,0.001,99
0.7,0.9,0.007,95
0.7,0.9,0.0039,97
0.7,0.9,0.001,99
