"time","mean.kernel","mean.cox","true.HR","SE.kernel","SE.cox","mean.cox.con","SE.cox.con","bias.kernel","bias.cox","bias.cox.con","r.bias.kernel","r.bias.cox","r.bias.cox.con","MSE.cox","MSE.kernel","ABSE","CI.coverage.percent","mean.cIL.kernel","mean.cIU.kernel","mean.B.q1.kernel","mean.B.q3.kernel","mean.q1.kernel","mean.q3.kernel","cox.ABSE","cox.CI.coverage.percent","mean.cIL.cox","mean.cIU.cox","mean.B.q1.cox","mean.B.q3.cox","IQR.simulations.cox","IQR.boot.cox","IQR.simulations.kernel","IQR.boot.kernel"
0,0.686316922121521,0.779462453929318,0.5,0.105153550590963,0.0370630873212797,0.750652672024882,0.0445543615359711,0.186316922121521,0.279462453929318,0.250652672024882,37.2633844243043,55.8924907858636,50.1305344049764,0.0793921697557834,0.0457144929086129,0.122179729558991,67.7,0.444879919369732,0.945247062589552,0.613268912771211,0.755191659791275,0.754259173635498,0.803700714794324,0.0427998097661455,0,0.699838174009763,0.869415049159156,0.751283575440394,0.809303893850152,0.0494415411588254,0.0580203184097579,0.120229608654445,0.141922747020064
0.2,0.641502887582906,0.728905539240637,0.5,0.0972320464641812,0.0447748972065215,0.750652672024882,0.0445543615359711,0.141502887582906,0.228905539240637,0.250652672024882,28.3005775165813,45.7811078481275,50.1305344049764,0.0543461863371446,0.0294382457373164,0.10596596069036,77.6,0.441594803362796,0.868503039939802,0.571694503788701,0.708571465742013,0.698413449261021,0.758831926370058,0.0515614524501741,0,0.634022255359489,0.838318786149291,0.69514788576427,0.764915747787725,0.0604184771090379,0.0697678620234553,0.123143893643409,0.136876961953311
0.4,0.61324525920921,0.705816798728379,0.5,0.083753861462993,0.0477873774172396,0.750652672024882,0.0445543615359711,0.11324525920921,0.205816798728379,0.250652672024882,22.649051841842,41.1633597456758,50.1305344049764,0.0445973071386367,0.0198123709630504,0.0893340635004937,76.1,0.456927394323822,0.811553487904107,0.553464873666726,0.672995101524546,0.673310906118298,0.737202143170605,0.055172595782674,0.4,0.604972640097534,0.823580338993153,0.669867022150581,0.744420281149083,0.0638912370523068,0.074553258998502,0.111261220202894,0.11953022785782
0.6,0.597594243780267,0.689333677647996,0.5,0.0756010218005097,0.0498505805782919,0.750652672024882,0.0445543615359711,0.0975942437802667,0.189333677647996,0.250652672024882,19.5188487560533,37.8667355295992,50.1305344049764,0.038291545250074,0.0152192161856403,0.0834686996116401,79.6,0.455182873673367,0.786369826554757,0.544896891005221,0.656090555428334,0.654668638536886,0.721214863105894,0.0576269608081169,2.1,0.584583500433292,0.812912892674315,0.651853006183799,0.729677977309598,0.0665462245690078,0.0778249711257992,0.0975395172852815,0.111193664423113
0.8,0.591697427174408,0.676144494881631,0.5,0.0809328025034999,0.0514657120816707,0.750652672024882,0.0445543615359711,0.0916974271744081,0.176144494881631,0.250652672024882,18.3394854348816,35.2288989763262,50.1305344049764,0.0336393145630952,0.0149370495034519,0.0911493538522004,83.9,0.445330540751495,0.80899339279245,0.536715315691453,0.653689850724146,0.639893792868965,0.709658855472247,0.0595245510978933,6,0.56842274909143,0.804293454738745,0.637442993343761,0.717852489659357,0.0697650626032816,0.0804094963155952,0.101394537292473,0.116974535032693
1,0.5912831364098,0.665154574022104,0.5,0.0869789280001153,0.0528600106284793,0.750652672024882,0.0445543615359711,0.0912831364098003,0.165154574022104,0.250652672024882,18.2566272819601,33.0309148044209,50.1305344049764,0.0300373824808612,0.0158745050698735,0.095742764319514,88.2,0.436206477683174,0.817081015696008,0.532540989489896,0.656686207393762,0.628677778674446,0.698998885220283,0.0610505318841886,10.5,0.555127033827109,0.7970374995919,0.625505180249764,0.707953632549879,0.0703211065458366,0.0824484523001147,0.106089715971628,0.124145217903865
1.2,0.599163447761904,0.65575206332013,0.5,0.0997172727493107,0.0539337057812698,0.750652672024882,0.0445543615359711,0.099163447761904,0.15575206332013,0.250652672024882,19.8326895523808,31.150412664026,50.1305344049764,0.0271375034996593,0.0197472330890147,0.104758418516307,91.3,0.423721956431709,0.837581047407298,0.531201355454956,0.671451712897796,0.618275876987003,0.690280335428452,0.0623265811443764,16.9,0.543823515405315,0.790756074613428,0.61532574955444,0.69949889357767,0.0720044584414491,0.0841731440232304,0.130970839413253,0.14025035744284
1.4,0.606498308527457,0.647384244620435,0.5,0.104160215058612,0.054940252955051,0.750652672024882,0.0445543615359711,0.106498308527457,0.147384244620435,0.250652672024882,21.2996617054914,29.476848924087,50.1305344049764,0.0247128157099964,0.0221582325373272,0.108238109497338,90.1,0.421381422352104,0.849141201665353,0.533887433114402,0.679090986292066,0.608801856074181,0.683399172116158,0.0634390340322573,24.1,0.533785880030462,0.785144748149966,0.606278772088843,0.691924196912653,0.0745973160419774,0.0856454248238093,0.139253082091382,0.145203553177664
1.6,0.603477516057617,0.639861294206904,0.5,0.0913794710110108,0.0557407276735714,0.750652672024882,0.0445543615359711,0.103477516057617,0.139861294206904,0.250652672024882,20.6955032115234,27.9722588413808,50.1305344049764,0.0226424608492385,0.0190304234205637,0.100266331406408,87.3,0.43179579322711,0.828866263580159,0.536941478390441,0.670274332844245,0.600996246520087,0.676869189583552,0.0644204879241227,30.4,0.524839553544647,0.780097954105675,0.598188806332944,0.685130641133716,0.0758729430634646,0.0869418348007722,0.122684851046905,0.133332854453804
1.8,0.597745273384193,0.633104691069316,0.5,0.0836813493304406,0.0564711706419053,0.750652672024882,0.0445543615359711,0.0977452733841927,0.133104691069316,0.250652672024882,19.5490546768385,26.6209382138632,50.1305344049764,0.0208817811240875,0.0165331709555325,0.0950576667788993,85.4,0.435658088221021,0.812637369733632,0.535442875498015,0.661816794338883,0.593968589746335,0.670069275128049,0.0652806797824274,37.6,0.516834857296688,0.775539529437831,0.59095116969952,0.678997303937033,0.0761006853817138,0.0880461342375134,0.115481714600733,0.126373918840868
