"","time","Statistics","value","Type","log_value"
"1",0,"mean.HR",0.511193086689361,"Kernel",-0.671007899700866
"2",0.2,"mean.HR",0.507710838908135,"Kernel",-0.677843208215639
"3",0.4,"mean.HR",0.50783404536755,"Kernel",-0.6776005671233
"4",0.6,"mean.HR",0.508345742217914,"Kernel",-0.676593467986189
"5",0.8,"mean.HR",0.508988225914236,"Kernel",-0.675330394498302
"6",1,"mean.HR",0.50980639396898,"Kernel",-0.673724245006219
"7",1.2,"mean.HR",0.510835290151416,"Kernel",-0.671708069208229
"8",1.4,"mean.HR",0.511962694943021,"Kernel",-0.669503518036564
"9",1.6,"mean.HR",0.513086876026274,"Kernel",-0.667310099170196
"10",1.8,"mean.HR",0.514181283058216,"Kernel",-0.665179384933005
"11",2,"mean.HR",0.515203791595072,"Kernel",-0.66319274475659
"12",2.2,"mean.HR",0.516093436882265,"Kernel",-0.661467450664243
"13",2.4,"mean.HR",0.517042185139517,"Kernel",-0.659630811787942
"14",2.6,"mean.HR",0.517823991250915,"Kernel",-0.658119879692628
"15",2.8,"mean.HR",0.518484470699793,"Kernel",-0.656845202195422
"16",3,"mean.HR",0.519051655703888,"Kernel",-0.655751871474378
"17",3.2,"mean.HR",0.519603307170362,"Kernel",-0.654689629366914
"18",3.4,"mean.HR",0.520157240965597,"Kernel",-0.653624126643936
"19",3.6,"mean.HR",0.520790350700285,"Kernel",-0.652407716100654
"20",3.8,"mean.HR",0.521241022846583,"Kernel",-0.651542728374107
"21",4,"mean.HR",0.521591314661351,"Kernel",-0.650870919847763
"22",4.2,"mean.HR",0.521909968056715,"Kernel",-0.650260180962156
"23",4.4,"mean.HR",0.522201255243482,"Kernel",-0.649702218959978
"24",4.6,"mean.HR",0.522563628519272,"Kernel",-0.649008525487019
"25",4.8,"mean.HR",0.522832089914173,"Kernel",-0.648494918254717
"26",5,"mean.HR",0.523055729183955,"Kernel",-0.648067263836898
"27",5.2,"mean.HR",0.523219017351793,"Kernel",-0.647755131350275
"28",5.4,"mean.HR",0.523387650065857,"Kernel",-0.647432884758937
"29",5.6,"mean.HR",0.523537348744833,"Kernel",-0.647146906909203
"30",5.8,"mean.HR",0.523593229611646,"Kernel",-0.647040175489032
"31",6,"mean.HR",0.523716637240595,"Kernel",-0.646804509553999
"32",6.2,"mean.HR",0.523871716994997,"Kernel",-0.646508439528197
"33",6.4,"mean.HR",0.523848292498082,"Kernel",-0.646553154712991
"34",6.6,"mean.HR",0.523647462518862,"Kernel",-0.646936602532649
"35",6.8,"mean.HR",0.523474315517066,"Kernel",-0.647267312879824
