"","time","Statistics","value","Type","log_value"
"1",0,"mean.HR",0.521106889966593,"Kernel",-0.651800095188166
"2",0.2,"mean.HR",0.515012623623392,"Kernel",-0.66356386672873
"3",0.4,"mean.HR",0.513616011377619,"Kernel",-0.66627935229165
"4",0.6,"mean.HR",0.512652531566165,"Kernel",-0.668156989682257
"5",0.8,"mean.HR",0.512030728148984,"Kernel",-0.669370639827528
"6",1,"mean.HR",0.511865198211357,"Kernel",-0.669693973351585
"7",1.2,"mean.HR",0.512061016768474,"Kernel",-0.669311487667286
"8",1.4,"mean.HR",0.512668712725822,"Kernel",-0.668125426579965
"9",1.6,"mean.HR",0.513602365121154,"Kernel",-0.666305921630318
"10",1.8,"mean.HR",0.514795138724448,"Kernel",-0.663986246341953
"11",2,"mean.HR",0.51633556223817,"Kernel",-0.660998410448305
"12",2.2,"mean.HR",0.518124282759509,"Kernel",-0.657540137393639
"13",2.4,"mean.HR",0.519678376102444,"Kernel",-0.654545166256631
"14",2.6,"mean.HR",0.520914189723583,"Kernel",-0.652169953819555
"15",2.8,"mean.HR",0.521987361423355,"Kernel",-0.650111903225263
"16",3,"mean.HR",0.523068746362929,"Kernel",-0.64804237735488
"17",3.2,"mean.HR",0.523983804715706,"Kernel",-0.646294502169823
"18",3.4,"mean.HR",0.524631878001146,"Kernel",-0.645058447095244
"19",3.6,"mean.HR",0.525130927184432,"Kernel",-0.644107662368607
"20",3.8,"mean.HR",0.525589711700119,"Kernel",-0.643234386394263
"21",4,"mean.HR",0.526017699431129,"Kernel",-0.642420417701936
"22",4.2,"mean.HR",0.526342630064696,"Kernel",-0.641802890349782
"23",4.4,"mean.HR",0.526441065003597,"Kernel",-0.64161589098866
"24",4.6,"mean.HR",0.526409626323924,"Kernel",-0.641675612048715
"25",4.8,"mean.HR",0.526399112749004,"Kernel",-0.641695584479661
"26",5,"mean.HR",0.526439514465882,"Kernel",-0.641618836313602
"27",5.2,"mean.HR",0.526497140425057,"Kernel",-0.641509378714296
"28",5.4,"mean.HR",0.526463731910894,"Kernel",-0.641572835040265
"29",5.6,"mean.HR",0.526586661579911,"Kernel",-0.641339361561057
"30",5.8,"mean.HR",0.526785564484279,"Kernel",-0.640961711758242
"31",6,"mean.HR",0.527059089871988,"Kernel",-0.640442611732027
"32",6.2,"mean.HR",0.526983514689036,"Kernel",-0.640586012355027
"33",6.4,"mean.HR",0.526780169029301,"Kernel",-0.640971954033226
"34",6.6,"mean.HR",0.526708995059534,"Kernel",-0.641107074492556
"35",6.8,"mean.HR",0.5265764948335,"Kernel",-0.641358668629196
"36",7,"mean.HR",0.52646713827776,"Kernel",-0.641566364782888
"37",7.2,"mean.HR",0.526214901206456,"Kernel",-0.642045592254565
"38",7.4,"mean.HR",0.525747160764626,"Kernel",-0.6429348647665
"39",7.6,"mean.HR",0.525398667684084,"Kernel",-0.643597937546467
"40",7.8,"mean.HR",0.525372789566195,"Kernel",-0.643647193010565
"41",8,"mean.HR",0.525322756784237,"Kernel",-0.643742430460024
"42",8.2,"mean.HR",0.525127249118486,"Kernel",-0.644114666486318
"43",8.4,"mean.HR",0.525007218389926,"Kernel",-0.644343267170889
"44",8.6,"mean.HR",0.525011436221462,"Kernel",-0.644335233348791
"45",8.8,"mean.HR",0.525124889857438,"Kernel",-0.64411915923803
"46",9,"mean.HR",0.525484634656222,"Kernel",-0.643434328566976
"47",9.2,"mean.HR",0.52619009519244,"Kernel",-0.642092733828589
"48",9.4,"mean.HR",0.527417114651127,"Kernel",-0.639763554601367
"49",9.6,"mean.HR",0.529764352821164,"Kernel",-0.635322988626116
"50",9.8,"mean.HR",0.53522479241391,"Kernel",-0.625068447597695
"51",10,"mean.HR",0.557071833432011,"Kernel",-0.585061082501147
"52",0,"median.HR",0.510745787818527,"Kernel",-0.671883292369755
"53",0.2,"median.HR",0.509806354330446,"Kernel",-0.673724322758354
"54",0.4,"median.HR",0.509436381492533,"Kernel",-0.674450298703355
"55",0.6,"median.HR",0.509574181184094,"Kernel",-0.674179840874068
"56",0.8,"median.HR",0.508579421021568,"Kernel",-0.676133888823015
"57",1,"median.HR",0.509324016636968,"Kernel",-0.674670890034207
"58",1.2,"median.HR",0.511060221607024,"Kernel",-0.671267845219275
"59",1.4,"median.HR",0.511091140836546,"Kernel",-0.671207346880834
"60",1.6,"median.HR",0.513002731402241,"Kernel",-0.667474109454702
"61",1.8,"median.HR",0.514637729672583,"Kernel",-0.664292063375633
"62",2,"median.HR",0.517292004792729,"Kernel",-0.65914775774119
"63",2.2,"median.HR",0.51850991075236,"Kernel",-0.65679613721874
"64",2.4,"median.HR",0.518883158991184,"Kernel",-0.656076548345793
"65",2.6,"median.HR",0.519677263135191,"Kernel",-0.654547307905189
"66",2.8,"median.HR",0.520955846805083,"Kernel",-0.652089987835197
"67",3,"median.HR",0.521489240741795,"Kernel",-0.651066636121742
"68",3.2,"median.HR",0.521805884698844,"Kernel",-0.650459628652714
"69",3.4,"median.HR",0.521884942579829,"Kernel",-0.650308131908526
"70",3.6,"median.HR",0.522227069787387,"Kernel",-0.649652786091697
"71",3.8,"median.HR",0.522225236798534,"Kernel",-0.64965629604393
"72",4,"median.HR",0.523186772723766,"Kernel",-0.647816760650004
"73",4.2,"median.HR",0.523625970770356,"Kernel",-0.646977645774702
"74",4.4,"median.HR",0.524550063186754,"Kernel",-0.645214406345678
"75",4.6,"median.HR",0.524365171229853,"Kernel",-0.645566945717305
"76",4.8,"median.HR",0.524280382574345,"Kernel",-0.645728656517269
"77",5,"median.HR",0.523852413194049,"Kernel",-0.646545288542921
"78",5.2,"median.HR",0.524416791689158,"Kernel",-0.64546850684026
"79",5.4,"median.HR",0.524514737855115,"Kernel",-0.645281752674745
"80",5.6,"median.HR",0.524763740653852,"Kernel",-0.6448071354811
"81",5.8,"median.HR",0.524121482064612,"Kernel",-0.64603178552974
"82",6,"median.HR",0.523835370622228,"Kernel",-0.64657782222726
"83",6.2,"median.HR",0.5244377874814,"Kernel",-0.645428471181054
"84",6.4,"median.HR",0.523737136217129,"Kernel",-0.646765368969364
