"","time","Statistics","value","Type","log_value"
"1",0,"mean.HR",0.564412527752655,"Kernel",-0.571969862664676
"2",0.2,"mean.HR",0.525699967625412,"Kernel",-0.643024632740507
"3",0.4,"mean.HR",0.517913232232219,"Kernel",-0.657947556096447
"4",0.6,"mean.HR",0.514081370934327,"Kernel",-0.665373716845799
"5",0.8,"mean.HR",0.511719125516491,"Kernel",-0.669979387444927
"6",1,"mean.HR",0.510182530811189,"Kernel",-0.672986713744613
"7",1.2,"mean.HR",0.509220368747761,"Kernel",-0.674874411630421
"8",1.4,"mean.HR",0.508625315859318,"Kernel",-0.676043651654199
"9",1.6,"mean.HR",0.508313527944158,"Kernel",-0.67665684078908
"10",1.8,"mean.HR",0.508169893307821,"Kernel",-0.676939451669472
"11",2,"mean.HR",0.508052482839405,"Kernel",-0.677170524064048
"12",2.2,"mean.HR",0.507861355889248,"Kernel",-0.677546790131358
"13",2.4,"mean.HR",0.507535216603453,"Kernel",-0.678189178151656
"14",2.6,"mean.HR",0.50701395935517,"Kernel",-0.679216742525075
"15",2.8,"mean.HR",0.506471462046269,"Kernel",-0.680287300323457
"16",3,"mean.HR",0.505927048660011,"Kernel",-0.681362792697214
"17",3.2,"mean.HR",0.505422219315591,"Kernel",-0.682361121172518
"18",3.4,"mean.HR",0.504997253460666,"Kernel",-0.683202288413317
"19",3.6,"mean.HR",0.504838214363394,"Kernel",-0.683517268632678
"20",3.8,"mean.HR",0.504787601656631,"Kernel",-0.683617528958835
"21",4,"mean.HR",0.504573451520182,"Kernel",-0.684041857080053
"22",4.2,"mean.HR",0.504232582457953,"Kernel",-0.684717644225887
"23",4.4,"mean.HR",0.503800307501171,"Kernel",-0.685575304700235
"24",4.6,"mean.HR",0.503171642750139,"Kernel",-0.68682392901902
"25",4.8,"mean.HR",0.502383507732199,"Kernel",-0.688391491333129
"26",5,"mean.HR",0.501546136437329,"Kernel",-0.690059678927595
"27",5.2,"mean.HR",0.500578542576715,"Kernel",-0.691990764313603
"28",5.4,"mean.HR",0.499422492748706,"Kernel",-0.694302862605849
"29",5.6,"mean.HR",0.498082456042451,"Kernel",-0.696989641280977
"30",5.8,"mean.HR",0.496936977899375,"Kernel",-0.699292065957385
"31",6,"mean.HR",0.496142193741432,"Kernel",-0.700892712412029
"32",6.2,"mean.HR",0.494704364346025,"Kernel",-0.70379493857994
"33",6.4,"mean.HR",0.49176758188386,"Kernel",-0.709749068648284
"34",6.6,"mean.HR",0.489052960603892,"Kernel",-0.715284491478269
"35",6.8,"mean.HR",0.486358762698214,"Kernel",-0.720808732561157
"36",7,"mean.HR",0.485088096335262,"Kernel",-0.723424762611177
"37",7.2,"mean.HR",0.484263963348497,"Kernel",-0.725125142111275
"38",7.4,"mean.HR",0.484319213238012,"Kernel",-0.725011058177319
"39",7.6,"mean.HR",0.486828253321418,"Kernel",-0.719843880683978
"40",7.8,"mean.HR",0.490876118714084,"Kernel",-0.711563487066272
"41",8,"mean.HR",0.494310756500717,"Kernel",-0.704590897828272
"42",8.2,"mean.HR",0.499322770373244,"Kernel",-0.694502557922513
"43",8.4,"mean.HR",0.502365873103504,"Kernel",-0.688426593875183
"44",8.6,"mean.HR",0.504467376913954,"Kernel",-0.684252105473635
"45",8.8,"mean.HR",0.507106895120963,"Kernel",-0.679033459111381
"46",9,"mean.HR",0.509224534715414,"Kernel",-0.67486623059355
"47",9.2,"mean.HR",0.512690151878233,"Kernel",-0.668083608728373
"48",9.4,"mean.HR",0.51597703495666,"Kernel",-0.661693020388936
"49",9.6,"mean.HR",0.520217555624163,"Kernel",-0.653508178701271
"50",9.8,"mean.HR",0.52882526917963,"Kernel",-0.637097205694482
"51",10,"mean.HR",0.573026336329392,"Kernel",-0.556823601143186
"52",0,"median.HR",0.503256175052589,"Kernel",-0.6866559441896
"53",0.2,"median.HR",0.501599878017508,"Kernel",-0.689952532850242
"54",0.4,"median.HR",0.501634843392293,"Kernel",-0.689882827577781
"55",0.6,"median.HR",0.502266522117368,"Kernel",-0.688624379626334
"56",0.8,"median.HR",0.501006697414061,"Kernel",-0.691135809894686
"57",1,"median.HR",0.504629178055678,"Kernel",-0.683931420317565
"58",1.2,"median.HR",0.50417196262506,"Kernel",-0.684837873420137
"59",1.4,"median.HR",0.502555917339311,"Kernel",-0.68804836695269
"60",1.6,"median.HR",0.499970056589466,"Kernel",-0.6932070691743
"61",1.8,"median.HR",0.499420429289343,"Kernel",-0.694306994305272
"62",2,"median.HR",0.497922678861125,"Kernel",-0.697310477343158
"63",2.2,"median.HR",0.49837151113402,"Kernel",-0.696409473788653
"64",2.4,"median.HR",0.498922572386971,"Kernel",-0.695304360827212
"65",2.6,"median.HR",0.497341239464971,"Kernel",-0.698478889965368
"66",2.8,"median.HR",0.49856405576424,"Kernel",-0.696023200815739
"67",3,"median.HR",0.498627739881278,"Kernel",-0.695895473898205
"68",3.2,"median.HR",0.498859129833118,"Kernel",-0.695431528029811
"69",3.4,"median.HR",0.499365064283476,"Kernel",-0.694417858962959
"70",3.6,"median.HR",0.497722871765407,"Kernel",-0.697711839250061
"71",3.8,"median.HR",0.497654820450853,"Kernel",-0.697848573909061
"72",4,"median.HR",0.498356523304812,"Kernel",-0.696439547848359
"73",4.2,"median.HR",0.497582096099126,"Kernel",-0.697994718712668
"74",4.4,"median.HR",0.498521075341789,"Kernel",-0.696109412957786
"75",4.6,"median.HR",0.498536216900146,"Kernel",-0.696079040463695
"76",4.8,"median.HR",0.497015490458501,"Kernel",-0.699134085446669
"77",5,"median.HR",0.496014700567201,"Kernel",-0.70114971445609
"78",5.2,"median.HR",0.494393056458482,"Kernel",-0.704424417317372
"79",5.4,"median.HR",0.492455236308302,"Kernel",-0.708351713245371
"80",5.6,"median.HR",0.489144865337126,"Kernel",-0.715096585246897
"81",5.8,"median.HR",0.488151076387062,"Kernel",-0.717130338279472
"82",6,"median.HR",0.489279670904986,"Kernel",-0.714821028852469
"83",6.2,"median.HR",0.486932860023976,"Kernel",-0.719629029830875
"84",6.4,"median.HR",0.480070771557541,"Kernel",-0.733821745203641
"85",6.6,"median.HR",0.480893717106375,"Kernel",-0.732108995648962
"86",6.8,"median.HR",0.482402782333504,"Kernel",-0.72897586589611
"87",7,"median.HR",0.480984454954104,"Kernel",-0.731920327581356
"88",7.2,"median.HR",0.48331793599588,"Kernel",-0.727080589303306
"89",7.4,"median.HR",0.484150278160908,"Kernel",-0.7253599283902
"90",7.6,"median.HR",0.484942307724642,"Kernel",-0.723725348265209
"91",7.8,"median.HR",0.489427043652838,"Kernel",-0.71451987070821
"92",8,"median.HR",0.491723340128864,"Kernel",-0.709839037460472
"93",8.2,"median.HR",0.496577776380522,"Kernel",-0.700015158458943
"94",8.4,"median.HR",0.499333823485241,"Kernel",-0.694480421960931
"95",8.6,"median.HR",0.500127804737695,"Kernel",-0.692891603747091
"96",8.8,"median.HR",0.500905378122629,"Kernel",-0.691338061757403
"97",9,"median.HR",0.500141791802489,"Kernel",-0.692863637157197
"98",9.2,"median.HR",0.500473623158659,"Kernel",-0.692200382597307
"99",9.4,"median.HR",0.499308020561597,"Kernel",-0.694532097992342
"100",9.6,"median.HR",0.500878703843161,"Kernel",-0.691391315307652
"101",9.8,"median.HR",0.506401620646896,"Kernel",-0.680425207827718
"102",10,"median.HR",0.503625620464822,"Kernel",-0.685922103473724
"103",0,"X25.",0.370969308045613,"Kernel",-0.991635947436678
"104",0.2,"X25.",0.385047537178492,"Kernel",-0.954388479125653
"105",0.4,"X25.",0.395217919778017,"Kernel",-0.928317970568556
"106",0.6,"X25.",0.403737979605618,"Kernel",-0.906989176763092
"107",0.8,"X25.",0.411437982755359,"Kernel",-0.888096980416474
"108",1,"X25.",0.416305562531707,"Kernel",-0.876335763035966
"109",1.2,"X25.",0.424138374489532,"Kernel",-0.857695522064223
"110",1.4,"X25.",0.430407064224219,"Kernel",-0.843023857108896
"111",1.6,"X25.",0.435578451412603,"Kernel",-0.831080357896715
"112",1.8,"X25.",0.43733924700884,"Kernel",-0.827046076113763
"113",2,"X25.",0.440578433945375,"Kernel",-0.819666792826421
"114",2.2,"X25.",0.442404654774525,"Kernel",-0.815530307187128
"115",2.4,"X25.",0.443413767514488,"Kernel",-0.813251932407159
"116",2.6,"X25.",0.445301360404884,"Kernel",-0.809004011629091
"117",2.8,"X25.",0.447480203095543,"Kernel",-0.804122981138437
"118",3,"X25.",0.447535029376235,"Kernel",-0.804000466395063
"119",3.2,"X25.",0.447723877441064,"Kernel",-0.803578581583438
"120",3.4,"X25.",0.448459906659195,"Kernel",-0.801935995773074
"121",3.6,"X25.",0.449959836919956,"Kernel",-0.798596951489892
"122",3.8,"X25.",0.451335734455536,"Kernel",-0.795543794128214
"123",4,"X25.",0.450979932841223,"Kernel",-0.7963324352782
"124",4.2,"X25.",0.451740479874977,"Kernel",-0.794647423611265
"125",4.4,"X25.",0.452842597397965,"Kernel",-0.792210680992449
"126",4.6,"X25.",0.453146547130431,"Kernel",-0.791539702215924
"127",4.8,"X25.",0.453346637055866,"Kernel",-0.791098242903984
"128",5,"X25.",0.451494964355423,"Kernel",-0.795191059331429
"129",5.2,"X25.",0.450228926450094,"Kernel",-0.797999100130037
"130",5.4,"X25.",0.448374575797545,"Kernel",-0.802126289218692
"131",5.6,"X25.",0.44654819824221,"Kernel",-0.806207937700356
"132",5.8,"X25.",0.443915816947774,"Kernel",-0.812120335995521
"133",6,"X25.",0.438891683046449,"Kernel",-0.823502632008508
"134",6.2,"X25.",0.433054352163452,"Kernel",-0.836892034230293
"135",6.4,"X25.",0.429042555146003,"Kernel",-0.846199168829203
"136",6.6,"X25.",0.422663302434504,"Kernel",-0.861179392224569
"137",6.8,"X25.",0.419864364257254,"Kernel",-0.867823562106432
"138",7,"X25.",0.420446372348425,"Kernel",-0.866438340761797
"139",7.2,"X25.",0.419779059196002,"Kernel",-0.868026755650651
"140",7.4,"X25.",0.419616915550999,"Kernel",-0.868413089757312
"141",7.6,"X25.",0.422407736126125,"Kernel",-0.861784232065266
"142",7.8,"X25.",0.423435505949998,"Kernel",-0.859354064680683
"143",8,"X25.",0.424731193838181,"Kernel",-0.856298795247425
"144",8.2,"X25.",0.426919071257772,"Kernel",-0.851160812386664
"145",8.4,"X25.",0.42618598812783,"Kernel",-0.852879436141892
"146",8.6,"X25.",0.423923233103352,"Kernel",-0.858202894143962
"147",8.8,"X25.",0.421236610416281,"Kernel",-0.864560583182675
"148",9,"X25.",0.41984670155846,"Kernel",-0.867865630621464
"149",9.2,"X25.",0.415357363674451,"Kernel",-0.878616012012387
"150",9.4,"X25.",0.411601812787991,"Kernel",-0.887698870785122
"151",9.6,"X25.",0.401961362043364,"Kernel",-0.911399309302384
"152",9.8,"X25.",0.392229721523893,"Kernel",-0.93590758654121
"153",10,"X25.",0.374442232054603,"Kernel",-0.98231774144892
"154",0,"X75.",0.647948463935194,"Kernel",-0.433944116756823
"155",0.2,"X75.",0.6278757033855,"Kernel",-0.465413056648968
"156",0.4,"X75.",0.612303948586232,"Kernel",-0.4905264717419
"157",0.6,"X75.",0.605273736188834,"Kernel",-0.502074466768408
"158",0.8,"X75.",0.596389527120923,"Kernel",-0.516861256405154
"159",1,"X75.",0.585754321955225,"Kernel",-0.534854823123416
