"","time","Statistics","value","Type","log_value"
"1",0,"mean.HR",0.523868098825329,"Kernel",-0.646515346146832
"2",0.2,"mean.HR",0.518849103485075,"Kernel",-0.656142182820797
"3",0.4,"mean.HR",0.513361656235706,"Kernel",-0.666774699279486
"4",0.6,"mean.HR",0.508538578735931,"Kernel",-0.676214198650721
"5",0.8,"mean.HR",0.505469714815933,"Kernel",-0.682267153659725
"6",1,"mean.HR",0.504530142316333,"Kernel",-0.684127694062777
"7",1.2,"mean.HR",0.505721381573856,"Kernel",-0.681769390647336
"8",1.4,"mean.HR",0.508834756233468,"Kernel",-0.675631959081974
"9",1.6,"mean.HR",0.51339544424908,"Kernel",-0.666708884271497
"10",1.8,"mean.HR",0.518635584898881,"Kernel",-0.656553790995066
"11",2,"mean.HR",0.522412848055761,"Kernel",-0.649297107034906
"12",2.2,"mean.HR",0.523763422517722,"Kernel",-0.646715180355373
"13",2.4,"mean.HR",0.523552571659974,"Kernel",-0.647117830294396
"14",2.6,"mean.HR",0.52265029761981,"Kernel",-0.648842685559768
"15",2.8,"mean.HR",0.521440525980404,"Kernel",-0.65116005518596
"16",3,"mean.HR",0.520001876805634,"Kernel",-0.653922858171573
"17",3.2,"mean.HR",0.518513015509167,"Kernel",-0.656790149391994
"18",3.4,"mean.HR",0.517162502797285,"Kernel",-0.659398135104663
"19",3.6,"mean.HR",0.515883776312368,"Kernel",-0.66187377857556
"20",3.8,"mean.HR",0.514753176638714,"Kernel",-0.664067761867027
"21",4,"mean.HR",0.513838650973453,"Kernel",-0.665845971418552
"22",4.2,"mean.HR",0.51294482308906,"Kernel",-0.667586996927339
"23",4.4,"mean.HR",0.512136592127112,"Kernel",-0.66916390802422
"24",4.6,"mean.HR",0.511633744977378,"Kernel",-0.670146251762745
"25",4.8,"mean.HR",0.511202698910391,"Kernel",-0.670989096374082
"26",5,"mean.HR",0.510680265078965,"Kernel",-0.672011588959539
"27",5.2,"mean.HR",0.510100033315034,"Kernel",-0.673148428742468
"28",5.4,"mean.HR",0.509540335361539,"Kernel",-0.674246262894396
"29",5.6,"mean.HR",0.509005454462169,"Kernel",-0.675296546453335
"30",5.8,"mean.HR",0.508535018771883,"Kernel",-0.676221199056702
"31",6,"mean.HR",0.50810743143488,"Kernel",-0.677062374559711
"32",6.2,"mean.HR",0.50771543900489,"Kernel",-0.67783414779076
"33",6.4,"mean.HR",0.507513312396686,"Kernel",-0.678232337086711
"34",6.6,"mean.HR",0.507304773905145,"Kernel",-0.678643324035587
"35",6.8,"mean.HR",0.507012154941043,"Kernel",-0.679220301435642
"36",7,"mean.HR",0.506889621371,"Kernel",-0.679462008420485
"37",7.2,"mean.HR",0.506786433859012,"Kernel",-0.679665599127422
"38",7.4,"mean.HR",0.506792445390968,"Kernel",-0.679653737136059
"39",7.6,"mean.HR",0.506485276798061,"Kernel",-0.680260024229102
