"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11"
0,1,0,1,1,0,0,1,0,0,1
0.2,1,1,1,1,1,1,1,1,1,1
0.4,1,1,1,1,1,1,1,1,1,1
0.6,1,1,0,1,1,1,1,1,1,1
0.8,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1
1.2,1,1,1,1,1,1,1,1,1,1
1.4,1,1,1,1,1,1,1,1,1,1
1.6,1,1,0,1,1,1,1,1,1,1
1.8,1,1,0,1,1,1,1,1,1,1
2,1,1,0,1,1,1,1,1,1,1
2.2,1,1,0,1,1,1,1,1,1,1
2.4,1,1,0,1,1,1,1,1,1,1
2.6,1,1,0,1,1,1,1,1,1,1
2.8,1,1,0,1,1,1,1,1,1,1
3,1,1,0,1,1,1,1,1,1,1
3.2,1,1,1,1,1,1,1,1,1,1
3.4,1,1,1,1,1,1,1,1,1,1
3.6,1,1,1,1,1,1,1,1,1,1
3.8,1,1,1,1,1,1,1,1,1,1
4,1,1,1,1,1,1,1,1,1,1
4.2,1,1,1,1,1,1,1,1,1,1
4.4,1,1,1,1,1,1,1,1,1,1
4.6,1,1,1,1,1,1,1,1,1,1
4.8,1,1,1,1,1,1,1,1,1,1
5,1,1,1,1,1,1,1,1,1,1
5.2,1,1,0,1,1,1,1,1,1,1
5.4,1,1,0,1,1,1,1,1,1,0
5.6,1,1,1,1,1,1,1,1,1,0
5.8,1,1,1,1,1,1,1,1,1,0
6,1,1,1,1,1,1,1,1,1,0
6.2,1,1,0,1,1,1,1,1,1,0
6.4,1,1,0,1,1,1,1,1,1,0
6.6,1,1,1,1,1,1,1,1,1,0
6.8,1,1,1,1,1,1,1,1,1,0
7,1,1,1,1,1,1,1,1,1,0
7.2,1,1,1,1,1,1,1,1,1,0
7.4,1,1,1,1,1,1,1,1,1,0
7.6,1,1,1,1,1,1,1,1,1,0
7.8,1,1,1,1,1,1,1,1,1,0
8,1,1,1,1,1,1,1,1,1,0
8.2,1,1,1,1,1,1,1,1,1,0
8.4,1,1,1,0,1,1,1,1,1,0
8.6,1,1,1,0,1,1,1,1,1,0
8.8,1,1,1,1,1,1,1,1,1,0
9,1,1,1,1,1,1,1,1,1,0
9.2,1,1,1,1,1,1,1,1,1,0
9.4,1,1,1,1,1,1,1,1,1,1
9.6,1,1,1,0,1,1,1,1,1,1
9.8,1,1,1,1,1,1,1,1,1,1
10,1,1,1,1,1,1,1,1,1,1
