time,mean.kernel,mean.cox,true.HR,SE.kernel,SE.cox,mean.cox.con,SE.cox.con,bias.kernel,bias.cox,bias.cox.con,r.bias.kernel,r.bias.cox,r.bias.cox.con,MSE.cox,MSE.kernel,IQR.simulations.cox,IQR.simulations.kernel,old.mean.kernel
0,0.871798273,0.860887702,0.5,0.666073969,0.028367551,0.848793222,0.032178728,0.371798273,0.360887702,0.348793222,74.3596546,72.17754033,69.75864445,0.130912933,0.605493175,0.038030263,0.363418385,0.9035962
0.2,0.713057902,0.619964329,0.5,364.9806184,0.065963992,0.848793222,0.032178728,0.213057902,0.119964329,0.348793222,42.6115804,23.99286587,69.75864445,0.018719618,133268.7256,0.089655706,0.465718645,18.50981368
0.4,0.527802358,0.575989894,0.5,112.2565633,0.070941791,0.848793222,0.032178728,0.027802358,0.075989894,0.348793222,5.5604716,15.19797876,69.75864445,0.010791378,12607.91506,0.095788776,0.331716471,6.120364829
0.6,0.414004444,0.550095702,0.5,59.40833028,0.07355573,0.848793222,0.032178728,-0.085995556,0.050095702,0.348793222,-17.1991112,10.01914031,69.75864445,0.007906708,3531.130829,0.099594698,0.148772617,3.47348341
0.8,0.451501426,0.531779508,0.5,46.34229277,0.075249809,0.848793222,0.032178728,-0.048498574,0.031779508,0.348793222,-9.6997148,6.355901593,69.75864445,0.006660148,2149.615054,0.10193214,0.194006163,3.010812331
1,0.448143557,0.517604005,0.5,48.57160385,0.076588911,0.848793222,0.032178728,-0.051856443,0.017604005,0.348793222,-10.3712886,3.520801095,69.75864445,0.006163733,2361.396686,0.102878635,0.191307508,3.129939642
1.2,0.429632341,0.506010011,0.5,68.61281851,0.077632442,0.848793222,0.032178728,-0.070367659,0.006010011,0.348793222,-14.0735318,1.202002259,69.75864445,0.006050839,4711.18876,0.104261427,0.136671375,4.090098012
1.4,0.428038242,0.496385512,0.5,77.22744011,0.078413095,0.848793222,0.032178728,-0.071961758,-0.003614488,0.348793222,-14.3923516,-0.722897511,69.75864445,0.00614938,5968.248902,0.105310101,0.142359947,4.512944348
1.6,0.427923394,0.488157909,0.5,84.0606275,0.079062963,0.848793222,0.032178728,-0.072076606,-0.011842091,0.348793222,-14.4153212,-2.368418268,69.75864445,0.006378558,7071.010217,0.106430691,0.148919537,4.854115392
1.8,0.426638378,0.480852336,0.5,92.39479263,0.079608869,0.848793222,0.032178728,-0.073361622,-0.019147664,0.348793222,-14.6723244,-3.829532779,69.75864445,0.006691176,8542.268695,0.106967362,0.151573503,5.248689864
