"","time","Statistics","value","Type","log_value"
"1",0,"mean.HR",0.573086616244105,"Kernel",-0.556718410961655
"2",0.2,"mean.HR",0.508316765472734,"Kernel",-0.676650471652536
"3",0.4,"mean.HR",0.465567350594472,"Kernel",-0.764498508317321
"4",0.6,"mean.HR",0.440462368254346,"Kernel",-0.819930266870779
"5",0.8,"mean.HR",0.430767148907516,"Kernel",-0.842187592625379
"6",1,"mean.HR",0.435296709482845,"Kernel",-0.831727389646472
"7",1.2,"mean.HR",0.447698113945641,"Kernel",-0.803636126507903
"8",1.4,"mean.HR",0.458489467612768,"Kernel",-0.779817958950188
"9",1.6,"mean.HR",0.464004241756901,"Kernel",-0.767861585080207
"10",1.8,"mean.HR",0.465233538665169,"Kernel",-0.765215765783373
"11",2,"mean.HR",0.463245413789103,"Kernel",-0.769498313943163
"12",2.2,"mean.HR",0.460735976172728,"Kernel",-0.774930119850973
"13",2.4,"mean.HR",0.45964823676418,"Kernel",-0.777293784719805
"14",2.6,"mean.HR",0.459596950884646,"Kernel",-0.777405367310123
"15",2.8,"mean.HR",0.459668112460904,"Kernel",-0.77725054455173
"16",3,"mean.HR",0.459564359189129,"Kernel",-0.777476283470698
"17",3.2,"mean.HR",0.459632685890096,"Kernel",-0.777327617411646
"18",3.4,"mean.HR",0.460016329820194,"Kernel",-0.776493290519975
"19",3.6,"mean.HR",0.460528070284688,"Kernel",-0.775381469043137
"20",3.8,"mean.HR",0.461099777683117,"Kernel",-0.774140821914211
"21",4,"mean.HR",0.461429321807008,"Kernel",-0.773426385614933
"22",4.2,"mean.HR",0.46144009792173,"Kernel",-0.77340303211661
"23",4.4,"mean.HR",0.461792190551627,"Kernel",-0.772640293093371
"24",4.6,"mean.HR",0.462051794823055,"Kernel",-0.772078284177643
"25",4.8,"mean.HR",0.462213852424782,"Kernel",-0.771727610961841
"26",5,"mean.HR",0.46223180229476,"Kernel",-0.771688777159359
"27",5.2,"mean.HR",0.462409702878304,"Kernel",-0.771303978110769
"28",5.4,"mean.HR",0.462631029189417,"Kernel",-0.770825455797828
"29",5.6,"mean.HR",0.46288446035131,"Kernel",-0.770277801715123
"30",5.8,"mean.HR",0.4629720576,"Kernel",-0.770088577473023
"31",6,"mean.HR",0.463276775700759,"Kernel",-0.769430615809165
"32",6.2,"mean.HR",0.463643853797182,"Kernel",-0.76863857794976
"33",6.4,"mean.HR",0.464026815593967,"Kernel",-0.76781293619741
"34",6.6,"mean.HR",0.46416061516626,"Kernel",-0.767524633277578
"35",6.8,"mean.HR",0.464153981058134,"Kernel",-0.767538926079078
"36",7,"mean.HR",0.464122055761153,"Kernel",-0.767607710138405
"37",7.2,"mean.HR",0.464238928140378,"Kernel",-0.767355927950507
"38",7.4,"mean.HR",0.464516971706953,"Kernel",-0.766757183813479
"39",7.6,"mean.HR",0.464921138397436,"Kernel",-0.765887482621836
"40",7.8,"mean.HR",0.465307843168757,"Kernel",-0.765056064118951
"41",8,"mean.HR",0.464958853588583,"Kernel",-0.765806364216251
"42",8.2,"mean.HR",0.46459651884678,"Kernel",-0.766585951470327
"43",8.4,"mean.HR",0.464805464749364,"Kernel",-0.766136316307518
"44",8.6,"mean.HR",0.465500761789205,"Kernel",-0.764641545769673
"45",8.8,"mean.HR",0.466650321184282,"Kernel",-0.762175078694004
"46",9,"mean.HR",0.468326728504142,"Kernel",-0.758589088819977
"47",9.2,"mean.HR",0.470861106914113,"Kernel",-0.753192118233213
"48",9.4,"mean.HR",0.47513650149704,"Kernel",-0.744153144658082
"49",9.6,"mean.HR",0.48212640582695,"Kernel",-0.729548946560771
"50",9.8,"mean.HR",0.495560281196332,"Kernel",-0.702066275303306
"51",10,"mean.HR",0.539469017843917,"Kernel",-0.617169923469733
"52",0,"median.HR",0.57219727473231,"Kernel",-0.558271461166163
"53",0.2,"median.HR",0.505639463771935,"Kernel",-0.681931385849104
"54",0.4,"median.HR",0.461607425330139,"Kernel",-0.773040477847134
"55",0.6,"median.HR",0.437242241020358,"Kernel",-0.827267910191451
"56",0.8,"median.HR",0.42690925978545,"Kernel",-0.851183794693448
"57",1,"median.HR",0.427186580392991,"Kernel",-0.850534404767303
"58",1.2,"median.HR",0.439869729710383,"Kernel",-0.8212766647469
"59",1.4,"median.HR",0.449523118672097,"Kernel",-0.79956799441952
"60",1.6,"median.HR",0.456499608220958,"Kernel",-0.784167437171012
"61",1.8,"median.HR",0.458132299847496,"Kernel",-0.780597272285368
"62",2,"median.HR",0.456874768430093,"Kernel",-0.78334595533438
"63",2.2,"median.HR",0.455962662086489,"Kernel",-0.785344354209493
"64",2.4,"median.HR",0.456583891496461,"Kernel",-0.783982824754365
